母猪品种,variety,体况,body_condition,季节,season,胎次,配种前天数,配种后天数,产子后天数,产子数量,断奶后天数,饲料量
苏太母猪,4,很胖,4,夏,1,5,,,,,3,3.264841662852695
太湖母猪,3,偏胖,3,夏,1,1,7,,,,,3.223683359695531
荣昌母猪,1,很胖,4,夏,1,5,,7,,,,1.8910752407308127
海波儿猪,2,很瘦,0,春,0,1,5,,,,,3.912792039860827
太湖母猪,0,偏胖,3,冬,3,2,,5,,,,2.3460355900083476
太湖母猪,3,很瘦,0,春,0,2,,,,,2,3.9587059205068456
海波儿猪,2,很胖,4,冬,3,5,,,13,5,,4.6189940864695895
海波儿猪,2,很胖,4,冬,3,5,2,,,,,2.89199989776116
荣昌母猪,1,很胖,4,春,0,3,,,8,3,,3.9042025766376214
荣昌母猪,1,标准,2,冬,3,5,,,,,5,3.71000898597962
太湖母猪,0,标准,2,春,0,6,,2,,,,2.072255438554197
太湖母猪,3,很瘦,0,冬,3,2,6,,,,,3.296151970064951
太湖母猪,0,偏瘦,1,春,0,3,,,,,1,3.4664684476155454
荣昌母猪,1,很胖,4,秋,2,2,,,16,2,,3.6955511608602643
荣昌母猪,1,偏胖,3,秋,2,6,8,,,,,2.9810000911658356
海波儿猪,2,很瘦,0,秋,2,4,,,,,5,3.3400247873652007
荣昌母猪,1,偏瘦,1,春,0,5,,,,,6,3.324237608854936
太湖母猪,3,很瘦,0,夏,1,1,7,,,,,3.3194511438671044
海波儿猪,2,偏瘦,1,秋,2,6,2,,,,,3.4944258179150696
太湖母猪,0,偏胖,3,秋,2,5,,,,,6,3.349519828641644
二元母猪,5,偏瘦,1,秋,2,4,,,24,4,,4.754844798297708
二元母猪,5,偏胖,3,春,0,5,1,,,,,3.027056331278959
荣昌母猪,1,很瘦,0,夏,1,2,,,28,2,,4.1659805580333185
太湖母猪,3,偏胖,3,夏,1,6,3,,,,,3.3514709692022624
荣昌母猪,1,标准,2,春,0,3,,,9,3,,4.175460685210993
苏太母猪,4,标准,2,秋,2,4,,3,,,,2.6485372165976253
苏太母猪,4,偏胖,3,冬,3,1,,,17,1,,3.4055383462591293
苏太母猪,4,偏瘦,1,夏,1,1,,,2,1,,3.433092685618086
苏太母猪,4,偏瘦,1,秋,2,1,,,18,1,,3.47107995381067
海波儿猪,2,偏胖,3,夏,1,4,,,15,4,,4.419261190431112
太湖母猪,0,偏胖,3,冬,3,5,,,7,5,,4.598086523811383
二元母猪,5,标准,2,夏,1,5,,3,,,,2.440685735506464
海波儿猪,2,很瘦,0,夏,1,5,5,,,,,3.6742249320473004
二元母猪,5,标准,2,夏,1,5,,,11,5,,4.967980528388904
太湖母猪,3,偏胖,3,秋,2,4,,5,,,,2.2812695752814682
二元母猪,5,很胖,4,秋,2,1,,,5,1,,3.2546187864661507
荣昌母猪,1,标准,2,春,0,6,,5,,,,2.2167019114233733
二元母猪,5,很瘦,0,夏,1,1,8,,,,,3.4022376988201577
太湖母猪,3,标准,2,冬,3,1,,,,,6,3.378342212930861
荣昌母猪,1,偏胖,3,春,0,5,,,,,6,3.419339559654653
荣昌母猪,1,很胖,4,春,0,6,,,,,6,3.1541471841540436
太湖母猪,3,偏瘦,1,春,0,2,7,,,,,3.7704445298386533
太湖母猪,0,很胖,4,秋,2,1,,,,,7,3.2841274626731223
太湖母猪,0,标准,2,夏,1,4,,,13,4,,4.757767657443302
太湖母猪,3,很胖,4,秋,2,3,,7,,,,2.901268016692617
二元母猪,5,标准,2,春,0,1,3,,,,,2.8509304665882764
苏太母猪,4,很胖,4,夏,1,2,,,,,4,3.173688406649958
海波儿猪,2,标准,2,夏,1,2,,,,,2,3.6644734962500305
二元母猪,5,偏胖,3,夏,1,5,,,,,4,3.2639952179966514
太湖母猪,3,很胖,4,春,0,2,,,21,2,,3.5833825905856616
太湖母猪,0,很瘦,0,冬,3,5,,,,,3,3.6081589473317885
荣昌母猪,1,偏瘦,1,冬,3,1,,,26,1,,3.3564531770782864
苏太母猪,4,很胖,4,春,0,3,,,20,3,,4.016881624686464
太湖母猪,3,很瘦,0,秋,2,4,,,1,4,,4.795761484015583
荣昌母猪,1,偏胖,3,秋,2,3,,,,,2,3.4870304625503645
荣昌母猪,1,标准,2,秋,2,6,,,,,3,3.595110305809187
海波儿猪,2,很胖,4,春,0,2,,,,,3,3.248792332791619
苏太母猪,4,偏瘦,1,秋,2,5,,3,,,,3.006243351811608
海波儿猪,2,偏瘦,1,春,0,5,,,,,5,3.2534396361335136
荣昌母猪,1,很瘦,0,秋,2,2,,,,,4,3.8559187777423505
太湖母猪,3,偏瘦,1,夏,1,4,1,,,,,3.109876520741473
太湖母猪,0,标准,2,秋,2,1,2,,,,,3.329847728653045
太湖母猪,3,很胖,4,冬,3,5,6,,,,,3.1920595862419376
太湖母猪,3,很胖,4,夏,1,3,,6,,,,2.2341789714557496
苏太母猪,4,标准,2,春,0,6,,,10,6,,5.157714853112243
荣昌母猪,1,很瘦,0,春,0,4,,6,,,,3.1584514704196525
海波儿猪,2,很胖,4,冬,3,3,,,,,4,3.232202463377235
苏太母猪,4,很瘦,0,秋,2,1,,,10,1,,4.028776974434661
苏太母猪,4,很胖,4,秋,2,3,,,23,3,,3.9401274695926642
太湖母猪,0,很胖,4,夏,1,6,8,,,,,3.059765150037132
二元母猪,5,很胖,4,春,0,5,7,,,,,2.8124665444519557
海波儿猪,2,偏瘦,1,秋,2,1,1,,,,,3.6758448873267975
太湖母猪,0,标准,2,夏,1,6,8,,,,,3.3258549370986867
海波儿猪,2,很胖,4,春,0,1,,8,,,,2.019447268889551
太湖母猪,3,标准,2,冬,3,3,1,,,,,3.4617025025178485
太湖母猪,3,偏胖,3,春,0,1,,1,,,,2.6880637721969083
荣昌母猪,1,标准,2,冬,3,5,,,,,1,3.5468433481347086
太湖母猪,0,标准,2,春,0,3,7,,,,,3.4824660718499514
荣昌母猪,1,很瘦,0,冬,3,6,7,,,,,3.8738162395969855
荣昌母猪,1,偏胖,3,冬,3,5,,,,,7,3.344378233972284
苏太母猪,4,很胖,4,冬,3,5,,7,,,,2.1505723149897813
苏太母猪,4,偏瘦,1,秋,2,5,,7,,,,2.310302497015135
太湖母猪,0,偏瘦,1,秋,2,1,,,12,1,,3.625927267009588
太湖母猪,0,很胖,4,冬,3,6,,7,,,,2.954203460004321
苏太母猪,4,偏瘦,1,冬,3,5,,,14,5,,4.873971816127476
海波儿猪,2,偏瘦,1,春,0,1,,,27,1,,3.716168765348173
荣昌母猪,1,偏瘦,1,冬,3,6,,,25,6,,5.030811877103445
太湖母猪,0,很胖,4,春,0,1,7,,,,,2.8651246355693623
荣昌母猪,1,很胖,4,冬,3,2,,,,,7,3.2004924501023155
海波儿猪,2,标准,2,冬,3,3,,,,,7,3.330057944491065
太湖母猪,0,偏瘦,1,夏,1,5,,,15,5,,5.2447719528254355
二元母猪,5,很胖,4,春,0,5,,7,,,,2.734977060588889
太湖母猪,3,很瘦,0,夏,1,3,,,24,3,,4.750927145742786
二元母猪,5,偏胖,3,冬,3,6,,7,,,,2.7257789845986427
太湖母猪,0,偏胖,3,春,0,6,,,,,5,3.530554690923173
太湖母猪,3,偏瘦,1,冬,3,5,,,,,3,3.2476557557883736
苏太母猪,4,很瘦,0,夏,1,4,,,21,4,,4.897001794108401
太湖母猪,3,标准,2,秋,2,3,,,,,2,3.536879636772722
苏太母猪,4,偏胖,3,冬,3,4,,,6,4,,4.382098207666654
海波儿猪,2,标准,2,春,0,4,,,,,2,3.5406119672710172
苏太母猪,4,标准,2,春,0,4,,7,,,,2.286528971594392
海波儿猪,2,偏瘦,1,冬,3,5,,7,,,,1.9695186813803838
太湖母猪,3,偏胖,3,冬,3,5,9,,,,,2.9179066980311594
二元母猪,5,很胖,4,秋,2,1,,9,,,,1.9379364398405958
海波儿猪,2,很瘦,0,夏,1,4,,,8,4,,4.498554581278277
太湖母猪,3,标准,2,春,0,1,,9,,,,2.2210084077339287
苏太母猪,4,很瘦,0,夏,1,2,,9,,,,2.18154114266789
荣昌母猪,1,很瘦,0,冬,3,1,,9,,,,3.1630084834064602
苏太母猪,4,标准,2,冬,3,3,,,,,6,3.2937685017823775
太湖母猪,3,很胖,4,秋,2,6,,,,,7,3.304096092752314
二元母猪,5,标准,2,秋,2,2,,,,,6,3.5144981443797594
海波儿猪,2,偏胖,3,冬,3,4,,,12,4,,4.3417736508676965
荣昌母猪,1,偏胖,3,冬,3,1,,,,,5,3.2788529732838896
苏太母猪,4,偏瘦,1,冬,3,5,,,,,2,3.520760041291682
太湖母猪,0,很胖,4,冬,3,6,,,,,7,3.3178834744357735
苏太母猪,4,很胖,4,春,0,2,,9,,,,1.5181328054783156
荣昌母猪,1,偏瘦,1,秋,2,4,,9,,,,3.4965270968447797
太湖母猪,0,很瘦,0,夏,1,6,1,,,,,3.2943934438360682
荣昌母猪,1,偏瘦,1,秋,2,4,,,,,3,3.345248018011313
苏太母猪,4,偏瘦,1,秋,2,6,2,,,,,3.1156655252580374
太湖母猪,3,很瘦,0,冬,3,5,,,5,5,,4.72244145439001
荣昌母猪,1,标准,2,夏,1,3,,,12,3,,4.101209866783815
太湖母猪,3,很瘦,0,冬,3,4,,,6,4,,4.641079421439073
二元母猪,5,很瘦,0,冬,3,1,8,,,,,3.342638621561195
太湖母猪,3,偏胖,3,秋,2,1,,,,,3,3.1989157414878977
太湖母猪,0,偏胖,3,夏,1,6,,,23,6,,5.068558196874275
苏太母猪,4,标准,2,秋,2,4,,,,,2,3.4251588560092645
太湖母猪,3,很瘦,0,秋,2,6,,8,,,,2.1373802699404587
苏太母猪,4,偏瘦,1,春,0,2,3,,,,,2.9354167836391603
太湖母猪,0,很胖,4,冬,3,6,,,,,5,3.2100302886931473
苏太母猪,4,很胖,4,夏,1,6,,,18,6,,5.033265201683705
太湖母猪,3,标准,2,冬,3,6,,,23,6,,5.4208413247538045
太湖母猪,3,标准,2,冬,3,5,,3,,,,2.878516625501552
海波儿猪,2,很胖,4,春,0,2,2,,,,,2.9156763271246735
荣昌母猪,1,偏瘦,1,夏,1,6,9,,,,,3.05026265264575
太湖母猪,3,偏瘦,1,秋,2,5,,9,,,,2.1388660080127537
太湖母猪,3,很胖,4,冬,3,3,,,,,1,3.3074681974994196
荣昌母猪,1,很瘦,0,夏,1,3,9,,,,,3.2986961281067093
海波儿猪,2,标准,2,秋,2,2,,9,,,,2.270574240910554
荣昌母猪,1,很瘦,0,秋,2,2,,9,,,,1.997323649657204
海波儿猪,2,标准,2,秋,2,3,,9,,,,2.3513563941167575
荣昌母猪,1,偏瘦,1,夏,1,5,,,22,5,,4.631121732522482
太湖母猪,3,很瘦,0,秋,2,5,,,15,5,,5.297734058149242
太湖母猪,0,很瘦,0,冬,3,5,,9,,,,2.908702168566421
太湖母猪,0,很瘦,0,秋,2,4,7,,,,,3.6608253048697867
海波儿猪,2,偏瘦,1,春,0,4,,7,,,,2.7500439674127812
太湖母猪,0,很胖,4,秋,2,2,1,,,,,2.986941836336509
太湖母猪,3,很瘦,0,秋,2,5,,1,,,,3.238824215960864
太湖母猪,0,偏胖,3,夏,1,4,,1,,,,1.7780790323844065
二元母猪,5,很胖,4,秋,2,5,7,,,,,3.060959972293641
太湖母猪,0,偏瘦,1,夏,1,1,,,22,1,,3.677650794767148
太湖母猪,3,标准,2,夏,1,6,,7,,,,3.03980138505354
太湖母猪,3,标准,2,冬,3,1,,7,,,,2.01369259799984
苏太母猪,4,很胖,4,春,0,2,4,,,,,2.7111938121571946
荣昌母猪,1,偏瘦,1,夏,1,3,,4,,,,1.8843364899800301
太湖母猪,0,偏胖,3,秋,2,1,8,,,,,3.095424984910909
海波儿猪,2,很胖,4,秋,2,4,2,,,,,3.016593221415187
苏太母猪,4,很胖,4,秋,2,4,,,7,4,,4.2826260695638645
荣昌母猪,1,标准,2,冬,3,2,,,,,5,3.229591674007731
二元母猪,5,偏瘦,1,春,0,4,4,,,,,3.1430669508326297
荣昌母猪,1,很瘦,0,春,0,2,5,,,,,3.4372348432702324
苏太母猪,4,很胖,4,春,0,6,,,,,7,3.339522565724937
荣昌母猪,1,很胖,4,冬,3,1,,,26,1,,3.4263149546903486
荣昌母猪,1,很胖,4,冬,3,6,8,,,,,2.8214950601965607
苏太母猪,4,偏瘦,1,秋,2,2,,8,,,,2.4531852055387278
海波儿猪,2,很瘦,0,冬,3,1,7,,,,,3.3797165523939787
海波儿猪,2,很胖,4,春,0,1,7,,,,,2.777815162705545
荣昌母猪,1,很瘦,0,秋,2,6,,7,,,,2.3934791155515316
二元母猪,5,标准,2,夏,1,2,,,,,5,3.342284903784464
二元母猪,5,很胖,4,春,0,1,,,3,1,,3.2420331978710197
太湖母猪,3,标准,2,秋,2,3,,,4,3,,4.2933229928680445
苏太母猪,4,偏瘦,1,秋,2,2,3,,,,,3.4195943422082284
太湖母猪,3,很瘦,0,夏,1,1,,,,,7,3.288186603299143
二元母猪,5,偏瘦,1,春,0,6,2,,,,,3.660329661688318
太湖母猪,0,偏胖,3,春,0,4,,,8,4,,4.457532971328382
海波儿猪,2,偏瘦,1,春,0,2,,2,,,,3.122453012560592
太湖母猪,0,偏瘦,1,秋,2,5,,,,,5,3.280651857816284
荣昌母猪,1,很瘦,0,冬,3,4,,,6,4,,4.924724179060457
荣昌母猪,1,很瘦,0,秋,2,6,,2,,,,2.0478304239914134
太湖母猪,3,偏瘦,1,春,0,6,6,,,,,2.937353125936803
海波儿猪,2,很瘦,0,春,0,1,,,10,1,,3.5779226781246125
荣昌母猪,1,偏胖,3,春,0,3,,,,,5,3.162598071752865
海波儿猪,2,很瘦,0,秋,2,6,,6,,,,2.464859544749982
太湖母猪,0,很胖,4,冬,3,2,,6,,,,2.209211757663317
荣昌母猪,1,标准,2,春,0,3,1,,,,,2.8481425362103137
太湖母猪,3,偏胖,3,冬,3,1,4,,,,,3.0263933467017528
苏太母猪,4,偏胖,3,秋,2,3,,,,,1,3.4626494378902763
荣昌母猪,1,标准,2,夏,1,6,,,,,1,3.2027162835033427
荣昌母猪,1,偏胖,3,夏,1,6,,,,,7,3.295916912872001
太湖母猪,3,偏胖,3,冬,3,1,,,24,1,,3.559381697989936
苏太母猪,4,很胖,4,秋,2,1,,,,,5,3.2688908009872084
太湖母猪,3,很胖,4,春,0,4,,,,,5,3.3121033659790755
二元母猪,5,标准,2,夏,1,1,,,3,1,,3.7879501268375755
太湖母猪,0,标准,2,秋,2,4,,4,,,,2.140416029821025
太湖母猪,0,偏胖,3,夏,1,3,,,,,4,3.2358456032448424
海波儿猪,2,很瘦,0,夏,1,5,,4,,,,2.0126071166800044
海波儿猪,2,偏胖,3,冬,3,4,,,22,4,,4.524123484966562
荣昌母猪,1,偏胖,3,春,0,5,,,,,5,3.3250444742610177
二元母猪,5,偏瘦,1,冬,3,1,,4,,,,3.2817767151561688
二元母猪,5,很瘦,0,夏,1,2,,4,,,,2.525057114886623
荣昌母猪,1,标准,2,秋,2,1,,,,,1,3.441925944910426
海波儿猪,2,很瘦,0,秋,2,1,6,,,,,3.0418522932548
二元母猪,5,偏瘦,1,夏,1,4,,,,,6,3.562509230212601
太湖母猪,0,很胖,4,春,0,2,2,,,,,3.1494382362087765
二元母猪,5,偏瘦,1,夏,1,6,,,22,6,,5.3371746759588286
太湖母猪,0,标准,2,夏,1,4,,,,,5,3.3258874261636198
海波儿猪,2,很瘦,0,秋,2,4,,,1,4,,4.5464220279725716
太湖母猪,3,很胖,4,夏,1,4,7,,,,,3.200285801738815
太湖母猪,3,偏胖,3,冬,3,2,,,5,2,,3.732529026464348
太湖母猪,0,偏瘦,1,春,0,1,9,,,,,3.377894517317648
海波儿猪,2,很瘦,0,冬,3,2,,,,,3,3.6432327441609136
太湖母猪,3,很瘦,0,夏,1,4,,,16,4,,4.537829757682117
太湖母猪,0,偏瘦,1,春,0,2,,9,,,,2.3213292324170087
太湖母猪,0,标准,2,秋,2,1,,,,,2,3.2880277637338504
太湖母猪,0,标准,2,夏,1,1,3,,,,,3.1546373659712326
海波儿猪,2,偏瘦,1,冬,3,5,,,,,1,3.426067838521984
二元母猪,5,偏瘦,1,夏,1,3,7,,,,,2.967647142349101
太湖母猪,0,标准,2,冬,3,4,,,,,4,3.6425897840384227
太湖母猪,3,偏胖,3,秋,2,2,,,,,6,3.3423402299142495
海波儿猪,2,很胖,4,冬,3,4,,,19,4,,4.313941438115506
海波儿猪,2,很胖,4,春,0,1,,,,,2,3.3314258846812126
荣昌母猪,1,很瘦,0,春,0,4,,,20,4,,5.1182848892485895
苏太母猪,4,标准,2,秋,2,4,,,23,4,,4.72833568593724
苏太母猪,4,很瘦,0,冬,3,3,,,,,3,3.5047453545861313
太湖母猪,3,偏瘦,1,冬,3,5,,7,,,,2.3792147647099333
海波儿猪,2,标准,2,春,0,3,,,,,1,3.378768733951754
二元母猪,5,很胖,4,夏,1,3,,,,,3,3.1606242495214167
海波儿猪,2,偏瘦,1,冬,3,3,,,17,3,,4.462939364035511
二元母猪,5,偏瘦,1,冬,3,2,,,24,2,,3.804959357884842
海波儿猪,2,很胖,4,冬,3,5,,7,,,,2.7593911544038847
海波儿猪,2,偏胖,3,冬,3,5,,7,,,,2.084208379845657
太湖母猪,0,标准,2,春,0,3,,7,,,,2.3764818897210023
海波儿猪,2,很瘦,0,冬,3,1,,,26,1,,4.049914412890624
海波儿猪,2,很胖,4,冬,3,2,,7,,,,1.9276432732098594
二元母猪,5,偏胖,3,夏,1,1,,,,,3,3.2147272575331476
二元母猪,5,偏胖,3,冬,3,5,,,,,3,3.377339999225127
太湖母猪,0,很胖,4,冬,3,5,,7,,,,2.073882860454476
海波儿猪,2,很胖,4,秋,2,6,,,9,6,,5.003571777457342
太湖母猪,0,偏胖,3,秋,2,1,,,,,5,3.30318523215218
二元母猪,5,偏胖,3,夏,1,5,,,,,2,3.3738499730807217
二元母猪,5,很胖,4,冬,3,6,,,,,6,3.18817934245631
二元母猪,5,很瘦,0,秋,2,1,,,26,1,,4.01664088092696
二元母猪,5,偏瘦,1,秋,2,6,,7,,,,2.0984525550046054
太湖母猪,0,很胖,4,夏,1,5,,,,,1,3.299998408983822
二元母猪,5,偏胖,3,夏,1,2,4,,,,,3.0284265256380674
苏太母猪,4,偏胖,3,夏,1,4,,,14,4,,4.256380990419387
荣昌母猪,1,偏瘦,1,冬,3,6,,,,,4,3.8945261637657778
太湖母猪,3,标准,2,夏,1,1,,4,,,,1.7996422989034169
二元母猪,5,很胖,4,夏,1,1,,,,,3,3.326744350224186
太湖母猪,0,很胖,4,秋,2,2,8,,,,,2.826855336311314
二元母猪,5,很胖,4,秋,2,5,,,16,5,,4.595827138088911
太湖母猪,0,偏胖,3,春,0,3,,,12,3,,4.084827424928125
太湖母猪,0,偏胖,3,春,0,6,,,2,6,,5.05279697755741
太湖母猪,3,标准,2,秋,2,6,,,6,6,,5.215548901113461
二元母猪,5,标准,2,春,0,1,,,,,5,3.4273075948698097
荣昌母猪,1,很胖,4,秋,2,1,7,,,,,3.078756865889148
二元母猪,5,标准,2,夏,1,2,,7,,,,2.5630703518781197
海波儿猪,2,偏胖,3,秋,2,2,,,,,1,3.44592910326093
荣昌母猪,1,偏胖,3,夏,1,2,,,,,4,3.33836282572923
太湖母猪,3,偏瘦,1,冬,3,6,4,,,,,3.3493834643802742
海波儿猪,2,偏瘦,1,冬,3,5,,4,,,,2.8588609544288865
荣昌母猪,1,标准,2,夏,1,4,,,,,2,3.279797606371831
苏太母猪,4,标准,2,秋,2,3,,,6,3,,4.2511582894463364
海波儿猪,2,偏瘦,1,冬,3,1,,4,,,,3.11621846012758
苏太母猪,4,标准,2,秋,2,5,,,,,1,3.2562857539451247
苏太母猪,4,偏胖,3,夏,1,3,,,,,5,3.1723741152947516
二元母猪,5,很瘦,0,冬,3,2,3,,,,,3.985508485001357
海波儿猪,2,偏瘦,1,冬,3,4,,3,,,,2.832075741157511
二元母猪,5,偏胖,3,春,0,6,,,9,6,,4.982045825000752
苏太母猪,4,很瘦,0,冬,3,6,,3,,,,2.7238155882111035
二元母猪,5,偏胖,3,秋,2,5,7,,,,,3.463360237478493
太湖母猪,3,偏瘦,1,冬,3,5,,,,,2,3.683423401225496
海波儿猪,2,偏胖,3,冬,3,4,,7,,,,2.3746860526842224
荣昌母猪,1,偏胖,3,冬,3,4,,,,,5,3.4253888650722932
二元母猪,5,很瘦,0,夏,1,5,,7,,,,2.086148780109158
海波儿猪,2,很瘦,0,春,0,3,,,,,5,4.025800885087585
苏太母猪,4,很瘦,0,冬,3,4,,7,,,,2.4112718072805097
苏太母猪,4,很胖,4,春,0,4,,7,,,,2.3522733527300677
二元母猪,5,偏瘦,1,冬,3,1,,,5,1,,3.795442759527988
荣昌母猪,1,很瘦,0,秋,2,5,,,,,3,3.368574154764218
苏太母猪,4,偏胖,3,夏,1,2,,7,,,,3.057413468180595
太湖母猪,3,很瘦,0,夏,1,2,,,,,5,3.269591793014958
荣昌母猪,1,偏瘦,1,冬,3,4,,,,,6,3.79843010078719
太湖母猪,0,很瘦,0,秋,2,3,,,,,4,3.344120773776706
海波儿猪,2,偏瘦,1,冬,3,6,,,12,6,,5.053974070935028
二元母猪,5,标准,2,夏,1,6,,7,,,,2.3983677760203888
苏太母猪,4,很瘦,0,春,0,5,,7,,,,3.0622698634187495
海波儿猪,2,偏胖,3,冬,3,4,,7,,,,2.3344978169096735
太湖母猪,3,标准,2,秋,2,3,,,5,3,,4.096354165397879
太湖母猪,0,偏瘦,1,冬,3,6,,,21,6,,4.951391136794198
苏太母猪,4,标准,2,秋,2,4,,,,,7,3.456759837987284
海波儿猪,2,偏胖,3,冬,3,3,5,,,,,2.8454051201359443
二元母猪,5,标准,2,秋,2,6,4,,,,,3.484390613527591
荣昌母猪,1,很瘦,0,春,0,4,,,,,6,3.5917486755910315
海波儿猪,2,偏瘦,1,冬,3,4,,,,,5,3.7607659780259395
荣昌母猪,1,偏瘦,1,夏,1,1,,,27,1,,3.583931679859065
太湖母猪,0,偏瘦,1,春,0,5,8,,,,,3.7078937879612326
太湖母猪,0,偏瘦,1,夏,1,2,,,20,2,,3.9565887348760325
海波儿猪,2,很胖,4,秋,2,6,,8,,,,2.0033596509569946
二元母猪,5,偏瘦,1,夏,1,4,,8,,,,3.3487145699353693
海波儿猪,2,很胖,4,春,0,1,,,5,1,,3.3418681704821025
太湖母猪,3,很胖,4,秋,2,2,,,,,3,3.3487466126886014
荣昌母猪,1,很胖,4,春,0,4,,8,,,,2.4625109846323743
二元母猪,5,很胖,4,秋,2,4,,,21,4,,4.359173159348176
苏太母猪,4,标准,2,秋,2,2,,,14,2,,3.9060246176655777
荣昌母猪,1,偏瘦,1,春,0,3,,,5,3,,4.386260497674413
苏太母猪,4,很胖,4,夏,1,6,,,,,1,3.2238503791048414
荣昌母猪,1,很瘦,0,冬,3,2,,,2,2,,3.8612904515630206
二元母猪,5,标准,2,春,0,3,,,2,3,,4.016623192609318
二元母猪,5,标准,2,冬,3,3,1,,,,,3.4538669422362354
太湖母猪,3,很瘦,0,秋,2,3,1,,,,,3.774153691937802
海波儿猪,2,很胖,4,秋,2,1,,1,,,,2.1294519705762642
太湖母猪,0,很胖,4,夏,1,2,3,,,,,2.815568122413105
海波儿猪,2,偏胖,3,冬,3,2,,,12,2,,3.706340161124729
二元母猪,5,偏胖,3,冬,3,6,7,,,,,3.0777018074313225
二元母猪,5,偏胖,3,春,0,5,,,,,7,3.2492105636600255
海波儿猪,2,很胖,4,夏,1,5,,,,,3,3.3462430312166505
海波儿猪,2,标准,2,春,0,3,,,,,4,3.3894995537445864
海波儿猪,2,偏胖,3,夏,1,6,,7,,,,2.09480440835311
太湖母猪,3,偏瘦,1,春,0,4,,,,,1,3.288169874444358
太湖母猪,3,偏胖,3,春,0,5,,7,,,,2.1756525299413427
太湖母猪,0,标准,2,夏,1,1,,,,,3,3.4539582789548873
太湖母猪,3,很胖,4,秋,2,2,,,27,2,,3.7049182890491172
荣昌母猪,1,偏胖,3,春,0,3,,7,,,,2.8422024220669346
二元母猪,5,偏瘦,1,秋,2,4,7,,,,,3.082489010489549
太湖母猪,3,很胖,4,冬,3,6,,,25,6,,4.890015528589307
太湖母猪,0,标准,2,夏,1,3,3,,,,,3.215970560532895
苏太母猪,4,标准,2,冬,3,3,,,,,4,3.480827089985975
二元母猪,5,很胖,4,秋,2,1,,,,,3,3.332279292381422
苏太母猪,4,偏胖,3,春,0,3,,,20,3,,4.066699347282741
苏太母猪,4,偏瘦,1,冬,3,1,,3,,,,2.4078517464234923
苏太母猪,4,偏胖,3,夏,1,6,,3,,,,2.1408738377889285
太湖母猪,0,很瘦,0,夏,1,5,,,,,4,3.743672406702227
海波儿猪,2,偏瘦,1,冬,3,3,,3,,,,3.2281249312215
太湖母猪,0,标准,2,冬,3,3,1,,,,,3.315220625295134
太湖母猪,0,很胖,4,秋,2,6,6,,,,,3.21424655623699
太湖母猪,3,标准,2,秋,2,2,1,,,,,3.2937754247455358
二元母猪,5,很瘦,0,秋,2,2,,,7,2,,4.195715848619663
苏太母猪,4,标准,2,秋,2,5,,,,,2,3.472789972199227
太湖母猪,0,很胖,4,夏,1,6,,,,,4,3.162465665256858
荣昌母猪,1,偏胖,3,冬,3,4,8,,,,,3.188767256655849
海波儿猪,2,很胖,4,夏,1,2,4,,,,,3.0741368051199975
海波儿猪,2,标准,2,夏,1,6,,,,,5,3.5482096571031136
荣昌母猪,1,标准,2,冬,3,6,,4,,,,2.7198086779602373
苏太母猪,4,偏瘦,1,春,0,3,,,,,7,3.4940631514568508
二元母猪,5,很瘦,0,冬,3,4,,,14,4,,4.777077362678832
苏太母猪,4,偏瘦,1,冬,3,2,6,,,,,3.8243338235064526
荣昌母猪,1,很胖,4,冬,3,5,,6,,,,1.9444755818235253
荣昌母猪,1,偏瘦,1,春,0,2,,,20,2,,4.194944322544133
太湖母猪,3,偏瘦,1,春,0,6,,,15,6,,5.102151376661828
太湖母猪,0,很瘦,0,夏,1,3,,6,,,,2.693265227024727
苏太母猪,4,偏瘦,1,夏,1,1,,,,,7,3.3874178683851857
太湖母猪,0,标准,2,秋,2,2,,6,,,,2.1631727081563823
荣昌母猪,1,很胖,4,秋,2,4,,,23,4,,4.247522981140008
荣昌母猪,1,偏胖,3,秋,2,4,,6,,,,1.9708267631232914
荣昌母猪,1,标准,2,夏,1,3,,,11,3,,4.419999504113969
荣昌母猪,1,偏胖,3,冬,3,5,4,,,,,2.851569635959407
太湖母猪,3,很胖,4,夏,1,4,,,,,3,3.3178055319137743
太湖母猪,0,很瘦,0,夏,1,3,,4,,,,2.925245905474112
海波儿猪,2,偏胖,3,秋,2,4,,,,,1,3.459572179035093
荣昌母猪,1,很胖,4,冬,3,6,,,3,6,,4.951709421220261
太湖母猪,0,很瘦,0,秋,2,5,,,10,5,,5.11554484908929
海波儿猪,2,偏胖,3,冬,3,4,4,,,,,3.2006726231338414
荣昌母猪,1,偏瘦,1,秋,2,6,,,12,6,,5.47969434596599
太湖母猪,0,偏胖,3,春,0,6,,,,,7,3.4351306315779566
太湖母猪,0,偏胖,3,冬,3,4,,4,,,,2.1056611110807433
海波儿猪,2,很瘦,0,夏,1,5,,,,,3,3.3170161792939656
二元母猪,5,标准,2,春,0,2,,,,,4,3.4487905549939737
海波儿猪,2,很胖,4,秋,2,5,6,,,,,3.2203739764786623
太湖母猪,0,标准,2,春,0,3,,,25,3,,4.052603901483496
苏太母猪,4,偏胖,3,冬,3,3,,,,,3,3.4414232482215463
荣昌母猪,1,很瘦,0,春,0,1,,,15,1,,3.5213221319599137
海波儿猪,2,很胖,4,秋,2,1,,,,,5,3.1943845684450456
太湖母猪,0,偏瘦,1,夏,1,2,,6,,,,2.694554979014649
海波儿猪,2,很瘦,0,秋,2,3,,,,,7,3.9810137499493106
